Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT1","SW_Push","SW_SPST_EVPBF",70.681800,-36.916400,90.000000,top
"BT1","1048P","BAT_1048P",109.370000,-85.956200,-90.000000,top
"C1","1u","C_0805_2012Metric",69.100000,-63.825000,180.000000,top
"C2","0.1u","C_0805_2012Metric",75.375000,-42.525000,0.000000,top
"C3","0.1u","C_0805_2012Metric",68.567800,-42.525000,0.000000,top
"C4","1u","C_0805_2012Metric",68.797400,-58.075000,180.000000,top
"C5","1u","C_0805_2012Metric",68.797400,-55.992200,180.000000,top
"C6","10u","C_0805_2012Metric",42.925200,-68.066800,180.000000,top
"C8","1u","C_0805_2012Metric",46.575000,-34.325000,180.000000,top
"C9","10n","C_0805_2012Metric",72.135000,-58.370200,90.000000,top
"C10","0.1u","C_0805_2012Metric",72.130000,-61.911000,-90.000000,top
"C11","2.2u","C_0805_2012Metric",51.425000,-42.325000,180.000000,top
"C12","5p","C_0805_2012Metric",77.950000,-55.850000,180.000000,top
"C13","10n","C_0805_2012Metric",69.075000,-53.125000,180.000000,top
"D1","ESD9B3.3ST5G","D_SOD-923",71.425000,-55.891200,180.000000,top
"D2","LED","LED_0805_2012Metric",62.475000,-52.687500,-90.000000,top
"D3","LED","LED_0805_2012Metric",74.175000,-58.387500,-90.000000,top
"D4","BPV22NF","XDCR_BPV22NF",76.775000,-49.362500,90.000000,top
"D5","BPV22NF","XDCR_BPV22NF",82.500148,-52.675000,-150.000000,top
"D6","BPV22NF","XDCR_BPV22NF",82.500148,-46.040000,-30.000000,top
"D8","ESD9B5.0ST5G","D_SOD-923",74.410800,-64.325000,180.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",46.675000,-44.845000,180.000000,top
"J2","HALL1","JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical",45.575000,-75.955000,180.000000,top
"J3","HALL2","JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical",54.475000,-75.950000,180.000000,top
"J4","HALL3","JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical",63.375000,-75.950000,180.000000,top
"J5","HALL4","JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical",64.422400,-68.781200,-90.000000,top
"J6","HALL5","JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical",64.425000,-59.775000,-90.000000,top
"J7","MOTOR1","PinHeader_1x03_P2.54mm_Vertical",50.292332,-39.446000,180.000000,top
"J8","MOTOR2","PinHeader_1x03_P2.54mm_Vertical",54.025998,-39.446000,180.000000,top
"J9","MOTOR3","PinHeader_1x03_P2.54mm_Vertical",57.759664,-39.446000,180.000000,top
"J10","MOTOR4","PinHeader_1x03_P2.54mm_Vertical",61.493330,-39.446000,180.000000,top
"J11","MOTOR5","PinHeader_1x03_P2.54mm_Vertical",65.227000,-39.446000,180.000000,top
"J13","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",43.075000,-45.295000,180.000000,top
"J15","Battery Connector Bat","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",97.700600,-39.988200,0.000000,top
"R1","10k","R_0805_2012Metric",71.971400,-42.525000,0.000000,top
"R2","500","R_0805_2012Metric",62.475000,-49.158800,90.000000,top
"R3","5.1k","R_0805_2012Metric",74.200400,-54.905400,90.000000,top
"R4","3k","R_0805_2012Metric",64.525000,-45.612500,-90.000000,top
"R5","47k","R_0805_2012Metric",64.525000,-49.125000,90.000000,top
"R6","100k","R_0805_2012Metric",77.950000,-53.850000,180.000000,top
"R7","47k","R_0805_2012Metric",68.525000,-44.725000,180.000000,top
"RESET1","SW_Push","SW_SPST_EVPBF",77.425000,-36.895000,-90.000000,top
"U1","TLV76733DRVx","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",69.225000,-61.400000,-90.000000,top
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",47.564000,-56.991000,90.000000,top
"U4","IIM-42652","Bosch_LGA-14_3x2.5mm_P0.5mm",50.619200,-45.125000,180.000000,top
"U5","TLV2462CDR","SOIC127P599X175-8N",69.250000,-49.300000,180.000000,top
